nombre;apellido_1;apellido_2;dni;email;telefono;movil;fecha_nacimiento;curso;fecha_matriculacion;poblacion;provincia;calle;extension;asignatura;nota
Juan;Morales;Marquez;7706101C;juan.morales.marquez@gmail.com;928592746;629237599;02/10/1993;Aprende a Programar desde Cero; ;Sayatón;Guadalajara;Reina Sofía;43 3Izq.;Fundamentos de programación; 
Martina;Gimenez;Calvo;1106624W;martina.gimenez.calvo@gmail.com;983500251;663979160;22/07/2003;Desarrollo Web Full Stack;22/10/2023;Hornachuelos;Córdoba;Francisco Pizarro;56 3Izq.;Prompt Engineering;9
Martina;Gimenez;Calvo;1106624W;martina.gimenez.calvo@gmail.com;983500251;663979160;22/07/2003;Desarrollo Web Full Stack;22/10/2023;Hornachuelos;Córdoba;Francisco Pizarro;56 3Izq.;Git & GitHub;1
Martina;Gimenez;Calvo;1106624W;martina.gimenez.calvo@gmail.com;983500251;663979160;22/07/2003;Desarrollo Web Full Stack;22/10/2023;Hornachuelos;Córdoba;Francisco Pizarro;56 3Izq.;Fundamentos de Web: HTML5, CSS3;4
Martina;Gimenez;Calvo;1106624W;martina.gimenez.calvo@gmail.com;983500251;663979160;22/07/2003;Desarrollo Web Full Stack;22/10/2023;Hornachuelos;Córdoba;Francisco Pizarro;56 3Izq.;Modelado de datos & SQL;8
Martina;Gimenez;Calvo;1106624W;martina.gimenez.calvo@gmail.com;983500251;663979160;22/07/2003;Desarrollo Web Full Stack;22/10/2023;Hornachuelos;Córdoba;Francisco Pizarro;56 3Izq.;Fundamentos de React;0
Martina;Gimenez;Calvo;1106624W;martina.gimenez.calvo@gmail.com;983500251;663979160;22/07/2003;Desarrollo Web Full Stack;22/10/2023;Hornachuelos;Córdoba;Francisco Pizarro;56 3Izq.;Desarrollo frontend con JavaScript;4
Martina;Gimenez;Calvo;1106624W;martina.gimenez.calvo@gmail.com;983500251;663979160;22/07/2003;Desarrollo Web Full Stack;22/10/2023;Hornachuelos;Córdoba;Francisco Pizarro;56 3Izq.;Web Components;0
Martina;Gimenez;Calvo;1106624W;martina.gimenez.calvo@gmail.com;983500251;663979160;22/07/2003;Desarrollo Web Full Stack;22/10/2023;Hornachuelos;Córdoba;Francisco Pizarro;56 3Izq.;Frontend PRO;5
Martina;Gimenez;Calvo;1106624W;martina.gimenez.calvo@gmail.com;983500251;663979160;22/07/2003;Desarrollo Web Full Stack;22/10/2023;Hornachuelos;Córdoba;Francisco Pizarro;56 3Izq.;Testing con JavaScript;1
Montserrat;Vidal;Lopez;3191550R;montserrat.vidal.lopez@gmail.com;942730390;675481948;20/01/2001;Ciberseguridad Full Stack;18/09/2023;Turégano;Segovia;Reina Sofía;15 2A;Productividad;0
Montserrat;Vidal;Lopez;3191550R;montserrat.vidal.lopez@gmail.com;942730390;675481948;20/01/2001;Ciberseguridad Full Stack;18/09/2023;Turégano;Segovia;Reina Sofía;15 2A;Networking;4
Montserrat;Vidal;Lopez;3191550R;montserrat.vidal.lopez@gmail.com;942730390;675481948;20/01/2001;Ciberseguridad Full Stack;18/09/2023;Turégano;Segovia;Reina Sofía;15 2A;Linux;10
Montserrat;Vidal;Lopez;3191550R;montserrat.vidal.lopez@gmail.com;942730390;675481948;20/01/2001;Ciberseguridad Full Stack;18/09/2023;Turégano;Segovia;Reina Sofía;15 2A;Python;1
Montserrat;Vidal;Lopez;3191550R;montserrat.vidal.lopez@gmail.com;942730390;675481948;20/01/2001;Ciberseguridad Full Stack;18/09/2023;Turégano;Segovia;Reina Sofía;15 2A;Docker;4
Montserrat;Vidal;Lopez;3191550R;montserrat.vidal.lopez@gmail.com;942730390;675481948;20/01/2001;Ciberseguridad Full Stack;18/09/2023;Turégano;Segovia;Reina Sofía;15 2A;Ciberseguridad enfocada en Pentesting;0
Montserrat;Vidal;Lopez;3191550R;montserrat.vidal.lopez@gmail.com;942730390;675481948;20/01/2001;Ciberseguridad Full Stack;18/09/2023;Turégano;Segovia;Reina Sofía;15 2A;Desarrollo seguro de aplicaciones;1
Claudia;Roman;Pascual;2475849Z;claudia.roman.pascual@gmail.com;999684082;613167022;20/12/2006;Desarrollo de Apps Móviles Full Stack; ;Vedra;Coruña, A;Agustina de Aragón;44 1D;Fundamentos de Autolayout; 
Claudia;Roman;Pascual;2475849Z;claudia.roman.pascual@gmail.com;999684082;613167022;20/12/2006;Desarrollo de Apps Móviles Full Stack; ;Vedra;Coruña, A;Agustina de Aragón;44 1D;Fundamentos de ConstraintLayout; 
Claudia;Roman;Pascual;2475849Z;claudia.roman.pascual@gmail.com;999684082;613167022;20/12/2006;Ciberseguridad Full Stack;13/10/2023;Vedra;Coruña, A;Agustina de Aragón;44 1D;Productividad;3
Claudia;Roman;Pascual;2475849Z;claudia.roman.pascual@gmail.com;999684082;613167022;20/12/2006;Ciberseguridad Full Stack;13/10/2023;Vedra;Coruña, A;Agustina de Aragón;44 1D;Networking;9
Claudia;Roman;Pascual;2475849Z;claudia.roman.pascual@gmail.com;999684082;613167022;20/12/2006;Ciberseguridad Full Stack;13/10/2023;Vedra;Coruña, A;Agustina de Aragón;44 1D;Linux;4
Claudia;Roman;Pascual;2475849Z;claudia.roman.pascual@gmail.com;999684082;613167022;20/12/2006;Ciberseguridad Full Stack;13/10/2023;Vedra;Coruña, A;Agustina de Aragón;44 1D;Python;1
Claudia;Roman;Pascual;2475849Z;claudia.roman.pascual@gmail.com;999684082;613167022;20/12/2006;Ciberseguridad Full Stack;13/10/2023;Vedra;Coruña, A;Agustina de Aragón;44 1D;Docker;0
Claudia;Roman;Pascual;2475849Z;claudia.roman.pascual@gmail.com;999684082;613167022;20/12/2006;Ciberseguridad Full Stack;13/10/2023;Vedra;Coruña, A;Agustina de Aragón;44 1D;Ciberseguridad enfocada en Pentesting;8
Claudia;Roman;Pascual;2475849Z;claudia.roman.pascual@gmail.com;999684082;613167022;20/12/2006;Ciberseguridad Full Stack;13/10/2023;Vedra;Coruña, A;Agustina de Aragón;44 1D;Desarrollo seguro de aplicaciones;4
Miguel angel;Rojas;Hidalgo;7430912A;miguel angel.rojas.hidalgo@gmail.com;999365100;662493574;05/08/2013;Marketing Digital y Análisis de Datos; ;Tragacete;Cuenca;Hernán Cortés;77 1C;Email Marketing; 
Victor manuel;Blanco;Leon;1376943W;victor manuel.blanco.leon@gmail.com;938066523;642536540;29/09/2012;Aprende a Programar desde Cero; ;Alaminos;Guadalajara;Iglesia;54 2D;Prompt Engineering; 
Victor manuel;Blanco;Leon;1376943W;victor manuel.blanco.leon@gmail.com;938066523;642536540;29/09/2012;DevOps & Cloud Computing Full Stack;14/10/2023;Alaminos;Guadalajara;Iglesia;54 2D;Docker;5
Victor manuel;Blanco;Leon;1376943W;victor manuel.blanco.leon@gmail.com;938066523;642536540;29/09/2012;DevOps & Cloud Computing Full Stack;14/10/2023;Alaminos;Guadalajara;Iglesia;54 2D;Base Linux;7
Victor manuel;Blanco;Leon;1376943W;victor manuel.blanco.leon@gmail.com;938066523;642536540;29/09/2012;DevOps & Cloud Computing Full Stack;14/10/2023;Alaminos;Guadalajara;Iglesia;54 2D;Introducción Despliegue en Servidores;7
Victor manuel;Blanco;Leon;1376943W;victor manuel.blanco.leon@gmail.com;938066523;642536540;29/09/2012;DevOps & Cloud Computing Full Stack;14/10/2023;Alaminos;Guadalajara;Iglesia;54 2D;Python;9
Victor manuel;Blanco;Leon;1376943W;victor manuel.blanco.leon@gmail.com;938066523;642536540;29/09/2012;DevOps & Cloud Computing Full Stack;14/10/2023;Alaminos;Guadalajara;Iglesia;54 2D;Plataformas Cloud y Kubernetes;3
Sebastian;Herrera;Peña;5396546X;sebastian.herrera.peña@gmail.com;956840966;634927792;01/08/2016;DevOps & Cloud Computing Full Stack; ;Benegiles;Zamora;Dolores Ibárruri;38 2Der.;Base Linux; 
Sebastian;Herrera;Peña;5396546X;sebastian.herrera.peña@gmail.com;956840966;634927792;01/08/2016;DevOps & Cloud Computing Full Stack; ;Benegiles;Zamora;Dolores Ibárruri;38 2Der.;Introducción Despliegue en Servidores; 
Maria rosario;Castillo;Lopez;4786671A;maria rosario.castillo.lopez@gmail.com;945191258;688827827;18/01/2003;Desarrollo Web Full Stack; ;Quintanilla del Monte;Zamora;Velázquez;51 3B;Frontend PRO; 
Maria rosario;Castillo;Lopez;4786671A;maria rosario.castillo.lopez@gmail.com;945191258;688827827;18/01/2003;Desarrollo Web Full Stack; ;Quintanilla del Monte;Zamora;Velázquez;51 3B;Testing con JavaScript; 
Francisco;Montero;Nuñez;7570136P;francisco.montero.nuñez@gmail.com;993678339;665436136;03/05/1991;Marketing Digital y Análisis de Datos; ;Fuentepiñel;Segovia;Dolores Ibárruri;8 3B;SEM, PPC, Display & Social Ads; 
Francisco;Montero;Nuñez;7570136P;francisco.montero.nuñez@gmail.com;993678339;665436136;03/05/1991;Marketing Digital y Análisis de Datos; ;Fuentepiñel;Segovia;Dolores Ibárruri;8 3B;Ecommerce – Plan de desarrollo y Estrategia; 
Joan;Hidalgo;Garrido;8334471F;joan.hidalgo.garrido@gmail.com;929778535;698343460;15/04/2011;Aprende a Programar desde Cero; ;Hornachuelos;Córdoba;Mariana Pineda;43 4C;Introducción a Java; 
Joan;Hidalgo;Garrido;8334471F;joan.hidalgo.garrido@gmail.com;929778535;698343460;15/04/2011;Aprende a Programar desde Cero; ;Hornachuelos;Córdoba;Mariana Pineda;43 4C;Introducción a Python; 
Joaquin;Lozano;Herrero;6098616M;joaquin.lozano.herrero@gmail.com;916805343;675261504;03/11/2010;Marketing Digital y Análisis de Datos; ;Zorraquín;Rioja, La;María Zambrano;42 2Der.;SEO – Posicionamiento en buscadores; 
Daniela;Garrido;Guerrero;8262516L;daniela.garrido.guerrero@gmail.com;912420784;652282388;04/04/1995;DevOps & Cloud Computing Full Stack;14/10/2023;Alaminos;Guadalajara;Bartolomé Esteban Murillo;94 1C;Docker;3
Daniela;Garrido;Guerrero;8262516L;daniela.garrido.guerrero@gmail.com;912420784;652282388;04/04/1995;DevOps & Cloud Computing Full Stack;14/10/2023;Alaminos;Guadalajara;Bartolomé Esteban Murillo;94 1C;Base Linux;10
Daniela;Garrido;Guerrero;8262516L;daniela.garrido.guerrero@gmail.com;912420784;652282388;04/04/1995;DevOps & Cloud Computing Full Stack;14/10/2023;Alaminos;Guadalajara;Bartolomé Esteban Murillo;94 1C;Introducción Despliegue en Servidores;5
Daniela;Garrido;Guerrero;8262516L;daniela.garrido.guerrero@gmail.com;912420784;652282388;04/04/1995;DevOps & Cloud Computing Full Stack;14/10/2023;Alaminos;Guadalajara;Bartolomé Esteban Murillo;94 1C;Python;7
Daniela;Garrido;Guerrero;8262516L;daniela.garrido.guerrero@gmail.com;912420784;652282388;04/04/1995;DevOps & Cloud Computing Full Stack;14/10/2023;Alaminos;Guadalajara;Bartolomé Esteban Murillo;94 1C;Plataformas Cloud y Kubernetes;7
Cristina;Gil;Fernandez;9248076Y;cristina.gil.fernandez@gmail.com;955532658;661264363;24/01/1998;Ciberseguridad Full Stack; ;Sayatón;Guadalajara;Eras;11 2Izq.;Networking; 
Cristina;Gil;Fernandez;9248076Y;cristina.gil.fernandez@gmail.com;955532658;661264363;24/01/1998;Desarrollo Web Full Stack;29/10/2023;Sayatón;Guadalajara;Eras;11 2Izq.;Prompt Engineering;2
Cristina;Gil;Fernandez;9248076Y;cristina.gil.fernandez@gmail.com;955532658;661264363;24/01/1998;Desarrollo Web Full Stack;29/10/2023;Sayatón;Guadalajara;Eras;11 2Izq.;Git & GitHub;2
Cristina;Gil;Fernandez;9248076Y;cristina.gil.fernandez@gmail.com;955532658;661264363;24/01/1998;Desarrollo Web Full Stack;29/10/2023;Sayatón;Guadalajara;Eras;11 2Izq.;Fundamentos de Web: HTML5, CSS3;7
Cristina;Gil;Fernandez;9248076Y;cristina.gil.fernandez@gmail.com;955532658;661264363;24/01/1998;Desarrollo Web Full Stack;29/10/2023;Sayatón;Guadalajara;Eras;11 2Izq.;Modelado de datos & SQL;5
Cristina;Gil;Fernandez;9248076Y;cristina.gil.fernandez@gmail.com;955532658;661264363;24/01/1998;Desarrollo Web Full Stack;29/10/2023;Sayatón;Guadalajara;Eras;11 2Izq.;Introducción a JavaScript;4
Cristina;Gil;Fernandez;9248076Y;cristina.gil.fernandez@gmail.com;955532658;661264363;24/01/1998;Desarrollo Web Full Stack;29/10/2023;Sayatón;Guadalajara;Eras;11 2Izq.;Fundamentos de React;9
Cristina;Gil;Fernandez;9248076Y;cristina.gil.fernandez@gmail.com;955532658;661264363;24/01/1998;Desarrollo Web Full Stack;29/10/2023;Sayatón;Guadalajara;Eras;11 2Izq.;Desarrollo frontend con JavaScript;9
Cristina;Gil;Fernandez;9248076Y;cristina.gil.fernandez@gmail.com;955532658;661264363;24/01/1998;Desarrollo Web Full Stack;29/10/2023;Sayatón;Guadalajara;Eras;11 2Izq.;Web Components;3
Cristina;Gil;Fernandez;9248076Y;cristina.gil.fernandez@gmail.com;955532658;661264363;24/01/1998;Desarrollo Web Full Stack;29/10/2023;Sayatón;Guadalajara;Eras;11 2Izq.;Frontend PRO;5
Cristina;Gil;Fernandez;9248076Y;cristina.gil.fernandez@gmail.com;955532658;661264363;24/01/1998;Desarrollo Web Full Stack;29/10/2023;Sayatón;Guadalajara;Eras;11 2Izq.;Testing con JavaScript;4
Joan;Garrido;Arias;3181464N;joan.garrido.arias@gmail.com;973685781;640967450;10/08/1990;DevOps & Cloud Computing Full Stack;16/10/2023;Ayora;Valencia/València;Ramón y Cajal;91 4C;Docker;0
Joan;Garrido;Arias;3181464N;joan.garrido.arias@gmail.com;973685781;640967450;10/08/1990;DevOps & Cloud Computing Full Stack;16/10/2023;Ayora;Valencia/València;Ramón y Cajal;91 4C;Base Linux;7
Joan;Garrido;Arias;3181464N;joan.garrido.arias@gmail.com;973685781;640967450;10/08/1990;DevOps & Cloud Computing Full Stack;16/10/2023;Ayora;Valencia/València;Ramón y Cajal;91 4C;Introducción Despliegue en Servidores;1
Joan;Garrido;Arias;3181464N;joan.garrido.arias@gmail.com;973685781;640967450;10/08/1990;DevOps & Cloud Computing Full Stack;16/10/2023;Ayora;Valencia/València;Ramón y Cajal;91 4C;Python;9
Joan;Garrido;Arias;3181464N;joan.garrido.arias@gmail.com;973685781;640967450;10/08/1990;DevOps & Cloud Computing Full Stack;16/10/2023;Ayora;Valencia/València;Ramón y Cajal;91 4C;Plataformas Cloud y Kubernetes;6
Eduardo;Alonso;Castro;2237186E;eduardo.alonso.castro@gmail.com;984839436;666426214;25/07/1999;Desarrollo Web Full Stack; ;Cisneros;Palencia;Reina Sofía;12 1D;Fundamentos de React; 
Olga;Navarro;Mora;6440868V;olga.navarro.mora@gmail.com;983211212;640675509;01/12/2012;DevOps & Cloud Computing Full Stack; ;Hornachuelos;Córdoba;Mayor;70 3A;Docker; 
Jordi;Pascual;Dominguez;3515841S;jordi.pascual.dominguez@gmail.com;959950345;665886323;01/07/1998;Desarrollo de Apps Móviles Full Stack; ;Peñarrubia;Cantabria;Rosalía de Castro;95 2B;Kotlin desde cero; 
Jordi;Pascual;Dominguez;3515841S;jordi.pascual.dominguez@gmail.com;959950345;665886323;01/07/1998;Desarrollo de Apps Móviles Full Stack; ;Peñarrubia;Cantabria;Rosalía de Castro;95 2B;Kotlin Avanzado; 
Jordi;Pascual;Dominguez;3515841S;jordi.pascual.dominguez@gmail.com;959950345;665886323;01/07/1998;DevOps & Cloud Computing Full Stack;29/10/2023;Peñarrubia;Cantabria;Rosalía de Castro;95 2B;Docker;1
Jordi;Pascual;Dominguez;3515841S;jordi.pascual.dominguez@gmail.com;959950345;665886323;01/07/1998;DevOps & Cloud Computing Full Stack;29/10/2023;Peñarrubia;Cantabria;Rosalía de Castro;95 2B;Base Linux;9
Jordi;Pascual;Dominguez;3515841S;jordi.pascual.dominguez@gmail.com;959950345;665886323;01/07/1998;DevOps & Cloud Computing Full Stack;29/10/2023;Peñarrubia;Cantabria;Rosalía de Castro;95 2B;Introducción Despliegue en Servidores;3
Jordi;Pascual;Dominguez;3515841S;jordi.pascual.dominguez@gmail.com;959950345;665886323;01/07/1998;DevOps & Cloud Computing Full Stack;29/10/2023;Peñarrubia;Cantabria;Rosalía de Castro;95 2B;Python;9
Jordi;Pascual;Dominguez;3515841S;jordi.pascual.dominguez@gmail.com;959950345;665886323;01/07/1998;DevOps & Cloud Computing Full Stack;29/10/2023;Peñarrubia;Cantabria;Rosalía de Castro;95 2B;Plataformas Cloud y Kubernetes;5
Felipe;Herrero;Montero;8158447W;felipe.herrero.montero@gmail.com;947443234;618900135;08/03/2011;Ciberseguridad Full Stack; ;Lemoa;Bizkaia;San Juan;20 1C;Desarrollo seguro de aplicaciones; 
Felipe;Herrero;Montero;8158447W;felipe.herrero.montero@gmail.com;947443234;618900135;08/03/2011;DevOps & Cloud Computing Full Stack;17/10/2023;Lemoa;Bizkaia;San Juan;20 1C;Docker;7
Felipe;Herrero;Montero;8158447W;felipe.herrero.montero@gmail.com;947443234;618900135;08/03/2011;DevOps & Cloud Computing Full Stack;17/10/2023;Lemoa;Bizkaia;San Juan;20 1C;Base Linux;2
Felipe;Herrero;Montero;8158447W;felipe.herrero.montero@gmail.com;947443234;618900135;08/03/2011;DevOps & Cloud Computing Full Stack;17/10/2023;Lemoa;Bizkaia;San Juan;20 1C;Introducción Despliegue en Servidores;8
Felipe;Herrero;Montero;8158447W;felipe.herrero.montero@gmail.com;947443234;618900135;08/03/2011;DevOps & Cloud Computing Full Stack;17/10/2023;Lemoa;Bizkaia;San Juan;20 1C;Python;3
Felipe;Herrero;Montero;8158447W;felipe.herrero.montero@gmail.com;947443234;618900135;08/03/2011;DevOps & Cloud Computing Full Stack;17/10/2023;Lemoa;Bizkaia;San Juan;20 1C;Plataformas Cloud y Kubernetes;7
Nuria;Vazquez;Bravo;9136901J;nuria.vazquez.bravo@gmail.com;947335309;678897048;01/08/2001;Desarrollo Web Full Stack;29/09/2023;Porriño, O;Pontevedra;Madre Teresa de Calcuta;5 1Izq.;Prompt Engineering;4
Nuria;Vazquez;Bravo;9136901J;nuria.vazquez.bravo@gmail.com;947335309;678897048;01/08/2001;Desarrollo Web Full Stack;29/09/2023;Porriño, O;Pontevedra;Madre Teresa de Calcuta;5 1Izq.;Git & GitHub;5
Nuria;Vazquez;Bravo;9136901J;nuria.vazquez.bravo@gmail.com;947335309;678897048;01/08/2001;Desarrollo Web Full Stack;29/09/2023;Porriño, O;Pontevedra;Madre Teresa de Calcuta;5 1Izq.;Fundamentos de Web: HTML5, CSS3;8
Nuria;Vazquez;Bravo;9136901J;nuria.vazquez.bravo@gmail.com;947335309;678897048;01/08/2001;Desarrollo Web Full Stack;29/09/2023;Porriño, O;Pontevedra;Madre Teresa de Calcuta;5 1Izq.;Modelado de datos & SQL;10
Nuria;Vazquez;Bravo;9136901J;nuria.vazquez.bravo@gmail.com;947335309;678897048;01/08/2001;Desarrollo Web Full Stack;29/09/2023;Porriño, O;Pontevedra;Madre Teresa de Calcuta;5 1Izq.;Introducción a JavaScript;5
Nuria;Vazquez;Bravo;9136901J;nuria.vazquez.bravo@gmail.com;947335309;678897048;01/08/2001;Desarrollo Web Full Stack;29/09/2023;Porriño, O;Pontevedra;Madre Teresa de Calcuta;5 1Izq.;Fundamentos de React;0
Nuria;Vazquez;Bravo;9136901J;nuria.vazquez.bravo@gmail.com;947335309;678897048;01/08/2001;Desarrollo Web Full Stack;29/09/2023;Porriño, O;Pontevedra;Madre Teresa de Calcuta;5 1Izq.;Desarrollo frontend con JavaScript;6
Nuria;Vazquez;Bravo;9136901J;nuria.vazquez.bravo@gmail.com;947335309;678897048;01/08/2001;Desarrollo Web Full Stack;29/09/2023;Porriño, O;Pontevedra;Madre Teresa de Calcuta;5 1Izq.;Web Components;9
Nuria;Vazquez;Bravo;9136901J;nuria.vazquez.bravo@gmail.com;947335309;678897048;01/08/2001;Desarrollo Web Full Stack;29/09/2023;Porriño, O;Pontevedra;Madre Teresa de Calcuta;5 1Izq.;Frontend PRO;1
Nuria;Vazquez;Bravo;9136901J;nuria.vazquez.bravo@gmail.com;947335309;678897048;01/08/2001;Desarrollo Web Full Stack;29/09/2023;Porriño, O;Pontevedra;Madre Teresa de Calcuta;5 1Izq.;Testing con JavaScript;2
Josefa;Delgado;Hidalgo;4084828M;josefa.delgado.hidalgo@gmail.com;924279338;609217912;03/11/2001;Ciberseguridad Full Stack;21/09/2023;Torralba de los Sisones;Teruel;Dolores Ibárruri;90 1A;Productividad;7
Josefa;Delgado;Hidalgo;4084828M;josefa.delgado.hidalgo@gmail.com;924279338;609217912;03/11/2001;Ciberseguridad Full Stack;21/09/2023;Torralba de los Sisones;Teruel;Dolores Ibárruri;90 1A;Networking;0
Josefa;Delgado;Hidalgo;4084828M;josefa.delgado.hidalgo@gmail.com;924279338;609217912;03/11/2001;Ciberseguridad Full Stack;21/09/2023;Torralba de los Sisones;Teruel;Dolores Ibárruri;90 1A;Linux;4
Josefa;Delgado;Hidalgo;4084828M;josefa.delgado.hidalgo@gmail.com;924279338;609217912;03/11/2001;Ciberseguridad Full Stack;21/09/2023;Torralba de los Sisones;Teruel;Dolores Ibárruri;90 1A;Python;4
Josefa;Delgado;Hidalgo;4084828M;josefa.delgado.hidalgo@gmail.com;924279338;609217912;03/11/2001;Ciberseguridad Full Stack;21/09/2023;Torralba de los Sisones;Teruel;Dolores Ibárruri;90 1A;Docker;5
Josefa;Delgado;Hidalgo;4084828M;josefa.delgado.hidalgo@gmail.com;924279338;609217912;03/11/2001;Ciberseguridad Full Stack;21/09/2023;Torralba de los Sisones;Teruel;Dolores Ibárruri;90 1A;Ciberseguridad enfocada en Pentesting;6
Josefa;Delgado;Hidalgo;4084828M;josefa.delgado.hidalgo@gmail.com;924279338;609217912;03/11/2001;Ciberseguridad Full Stack;21/09/2023;Torralba de los Sisones;Teruel;Dolores Ibárruri;90 1A;Desarrollo seguro de aplicaciones;2
Alberto;Marin;Guerrero;8768758P;alberto.marin.guerrero@gmail.com;909288904;680859132;18/02/2016;Desarrollo Web Full Stack; ;Sant Pol de Mar;Barcelona;Mayor;55 4Der.;Fundamentos de Web: HTML5, CSS3; 
Alberto;Marin;Guerrero;8768758P;alberto.marin.guerrero@gmail.com;909288904;680859132;18/02/2016;Desarrollo Web Full Stack; ;Sant Pol de Mar;Barcelona;Mayor;55 4Der.;Git & GitHub; 
Francisco jose;Morales;Carrasco;1021168Z;francisco jose.morales.carrasco@gmail.com;991562524;642377063;21/07/2001;Ciberseguridad Full Stack; ;Santoña;Cantabria;Pablo Picasso;37 3B;Ciberseguridad enfocada en Pentesting; 
Francisco jose;Morales;Carrasco;1021168Z;francisco jose.morales.carrasco@gmail.com;991562524;642377063;21/07/2001;Desarrollo de Apps Móviles Full Stack;25/09/2023;Santoña;Cantabria;Pablo Picasso;37 3B;Swift desde 0;2
Francisco jose;Morales;Carrasco;1021168Z;francisco jose.morales.carrasco@gmail.com;991562524;642377063;21/07/2001;Desarrollo de Apps Móviles Full Stack;25/09/2023;Santoña;Cantabria;Pablo Picasso;37 3B;Swift & Storyboards;0
Francisco jose;Morales;Carrasco;1021168Z;francisco jose.morales.carrasco@gmail.com;991562524;642377063;21/07/2001;Desarrollo de Apps Móviles Full Stack;25/09/2023;Santoña;Cantabria;Pablo Picasso;37 3B;Kotlin desde cero;2
Francisco jose;Morales;Carrasco;1021168Z;francisco jose.morales.carrasco@gmail.com;991562524;642377063;21/07/2001;Desarrollo de Apps Móviles Full Stack;25/09/2023;Santoña;Cantabria;Pablo Picasso;37 3B;Kotlin Avanzado;10
Francisco jose;Morales;Carrasco;1021168Z;francisco jose.morales.carrasco@gmail.com;991562524;642377063;21/07/2001;Desarrollo de Apps Móviles Full Stack;25/09/2023;Santoña;Cantabria;Pablo Picasso;37 3B;Modelado de datos & SQL;8
Francisco jose;Morales;Carrasco;1021168Z;francisco jose.morales.carrasco@gmail.com;991562524;642377063;21/07/2001;Desarrollo de Apps Móviles Full Stack;25/09/2023;Santoña;Cantabria;Pablo Picasso;37 3B;Introducción a GNU/Linux;10
Francisco jose;Morales;Carrasco;1021168Z;francisco jose.morales.carrasco@gmail.com;991562524;642377063;21/07/2001;Desarrollo de Apps Móviles Full Stack;25/09/2023;Santoña;Cantabria;Pablo Picasso;37 3B;Fundamentos de Autolayout;4
Francisco jose;Morales;Carrasco;1021168Z;francisco jose.morales.carrasco@gmail.com;991562524;642377063;21/07/2001;Desarrollo de Apps Móviles Full Stack;25/09/2023;Santoña;Cantabria;Pablo Picasso;37 3B;Arquitectura y código de calidad;6
Raul;Jimenez;Campos;8662714V;raul.jimenez.campos@gmail.com;944285617;627776566;08/07/2003;Ciberseguridad Full Stack; ;Santa Cruz de la Zarza;Toledo;Velázquez;41 3C;Linux; 
